file	roll	pitch	yaw
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0001_01.jpg	9.627479553222656	-15.81085205078125	-25.61859893798828
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0002_01.jpg	3.7382583618164062	-11.874656677246094	-26.9713134765625
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0003_01.jpg	4.671501159667969	-3.6466217041015625	-17.264907836914062
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0004_01.jpg	-3.00372314453125	-12.017868041992188	-26.336776733398438
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0005_01.jpg	4.67694091796875	-6.558174133300781	-7.3687896728515625
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0006_01.jpg	1.5530319213867188	-6.439361572265625	16.962501525878906
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0008_01.jpg	4.2304229736328125	-10.788558959960938	8.20880126953125
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0009_01.jpg	3.363800048828125	-5.9557037353515625	0.7409591674804688
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0010_01.jpg	1.3479080200195312	-5.482414245605469	-27.062957763671875
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0011_01.jpg	-0.5030517578125	-9.066642761230469	19.468711853027344
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0012_01.jpg	-0.701568603515625	-4.000373840332031	-17.209915161132812
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0013_01.jpg	0.87139892578125	-9.637496948242188	17.516708374023438
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0014_01.jpg	1.2347869873046875	-7.813911437988281	-13.587265014648438
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0015_01.jpg	-14.072761535644531	-0.45558929443359375	-23.997940063476562
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0016_01.jpg	-0.3557586669921875	-8.74444580078125	-10.787216186523438
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0018_01.jpg	25.091262817382812	-14.4478759765625	-45.48654556274414
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0018_02.jpg	-23.980056762695312	8.025924682617188	-25.257949829101562
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0018_03.jpg	-11.5323486328125	-0.47528076171875	-20.447372436523438
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0019_01.jpg	-6.605743408203125	0.5929107666015625	-4.484733581542969
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0020_01.jpg	3.3218994140625	-6.69512939453125	-21.328269958496094
D:\Documenti HDD\GitHub\AgeEstimationFramework\dataset\vggface2_data\train\n000002\0021_01.jpg	1.2016525268554688	-15.720947265625	1.05450439453125
